doc_id,skin_tone,coverage_level,coverage_fraction,skin_occlusion_ratio,font_size,num_paragraphs
doc_010,orta,3,0.6,0.6003521126760564,28,2
doc_010,orta,4,0.8,0.801531690140845,28,2
doc_010,orta,5,1.0,1.0,28,2
doc_010,koyu,0,0.0,0.0,28,2
doc_010,koyu,1,0.2,0.2006161971830986,28,2
doc_010,koyu,2,0.4,0.4014084507042254,28,2
doc_010,koyu,3,0.6,0.6003521126760564,28,2
doc_010,koyu,4,0.8,0.801531690140845,28,2
doc_010,koyu,5,1.0,1.0,28,2
doc_011,acik,0,0.0,0.0,28,5
doc_011,acik,1,0.2,0.19998532863849766,28,5
doc_011,acik,2,0.4,0.4014084507042254,28,5
doc_011,acik,3,0.6,0.6003521126760564,28,5
doc_011,acik,4,0.8,0.801531690140845,28,5
doc_011,acik,5,1.0,1.0,28,5
doc_011,orta,0,0.0,0.0,28,5
doc_011,orta,1,0.2,0.2006161971830986,28,5
doc_011,orta,2,0.4,0.4014084507042254,28,5
doc_011,orta,3,0.6,0.6003521126760564,28,5
doc_011,orta,4,0.8,0.801531690140845,28,5
doc_011,orta,5,1.0,1.0,28,5
doc_011,koyu,0,0.0,0.0,28,5
doc_011,koyu,1,0.2,0.2006161971830986,28,5
doc_011,koyu,2,0.4,0.4014084507042254,28,5
doc_011,koyu,3,0.6,0.6003521126760564,28,5
doc_011,koyu,4,0.8,0.801531690140845,28,5
doc_011,koyu,5,1.0,1.0,28,5
doc_012,acik,0,0.0,0.0,28,5
doc_012,acik,1,0.2,0.2006161971830986,28,5
doc_012,acik,2,0.4,0.4014084507042254,28,5
doc_012,acik,3,0.6,0.6003521126760564,28,5
doc_012,acik,4,0.8,0.8002714201877934,28,5
doc_012,acik,5,1.0,1.0,28,5
doc_012,orta,0,0.0,0.0,28,5
doc_012,orta,1,0.2,0.2006161971830986,28,5
doc_012,orta,2,0.4,0.4014084507042254,28,5
doc_012,orta,3,0.6,0.6003521126760564,28,5
doc_012,orta,4,0.8,0.801531690140845,28,5
doc_012,orta,5,1.0,1.0,28,5
doc_012,koyu,0,0.0,0.0,28,5
doc_012,koyu,1,0.2,0.2006161971830986,28,5
doc_012,koyu,2,0.4,0.4014084507042254,28,5
doc_012,koyu,3,0.6,0.6003521126760564,28,5
doc_012,koyu,4,0.8,0.801531690140845,28,5
doc_012,koyu,5,1.0,1.0,28,5
