doc_id,severity_level,sigma,font_size,num_paragraphs,laplacian_variance,tenengrad,gradient_magnitude_mean
doc_004,7,6.0,14,5,1.5634866310160427,147.50708449197862,7.25522704707651
doc_004,8,8.0,14,5,1.5272299465240642,48.750960427807485,3.890467408407962
doc_005,0,0.0,20,2,7595.749659893048,89843.34951871658,107.66949088679358
doc_005,1,0.5,20,2,3702.1039379679146,64081.99523850268,94.83469327768651
doc_005,2,1.0,20,2,524.11815828877,23672.338288770054,63.921976649111365
doc_005,3,1.5,20,2,106.70297967914439,9477.769287700536,43.558443548597005
doc_005,4,2.0,20,2,27.339698395721925,4520.955721925134,32.206260958250375
doc_005,5,3.0,20,2,4.1631935828877005,1821.7865625668449,22.665971123236808
doc_005,6,4.0,20,2,1.8895914438502674,1044.097535828877,18.24513945317207
doc_005,7,6.0,20,2,1.4269967914438502,372.1207229946524,11.431089866382035
doc_005,8,8.0,20,2,1.192746524064171,121.09023743315508,6.603961605699653
doc_006,0,0.0,20,2,8820.119852406417,104607.64341818182,125.38019429120838
doc_006,1,0.5,20,2,4297.893157219251,74634.58446631016,110.42576050877128
doc_006,2,1.0,20,2,611.3561262032085,27526.4896342246,74.3560609057394
doc_006,3,1.5,20,2,124.05342673796791,10984.31056684492,50.5974040974177
doc_006,4,2.0,20,2,31.62170695187166,5240.290968983957,37.42694774098564
doc_006,5,3.0,20,2,4.824245989304813,2122.413505882353,26.4285533411685
doc_006,6,4.0,20,2,2.206701604278075,1217.1304727272727,21.274105433903213
doc_006,7,6.0,20,2,1.6407914438502673,428.7233197860963,13.231747940443505
doc_006,8,8.0,20,2,1.357103743315508,135.7431614973262,7.550778021918816
doc_007,0,0.0,20,5,9843.727045989304,116702.96916363636,140.04401594298642
doc_007,1,0.5,20,5,4802.911997860962,83180.688171123,123.25345280767532
doc_007,2,1.0,20,5,681.6509903743315,30568.412667379678,82.80856292108956
doc_007,3,1.5,20,5,137.8483422459893,12149.96284919786,56.22870179041304
doc_007,4,2.0,20,5,35.032513368983956,5777.163473796792,41.50242833754092
doc_007,5,3.0,20,5,5.324746524064171,2334.340988235294,29.25358761975063
doc_007,6,4.0,20,5,2.4425540106951873,1341.6584470588236,23.618723739959524
doc_007,7,6.0,20,5,1.852924064171123,481.49718502673795,14.9357271595692
