doc_id,severity_level,target_area_fraction,ground_truth_glare_fraction,naive_glare_ratio,oracle_text_washout_ratio,font_size,num_paragraphs
doc_011,0,0.0,0.0,0.8553770539906104,0.0,28,5
doc_011,1,0.03,0.030019072769953,0.8569307511737089,0.005007048209754722,28,5
doc_011,2,0.06,0.0600132042253521,0.8581704812206573,0.009551733859599662,28,5
doc_011,3,0.1,0.1000308098591549,0.8598092723004694,0.01454750493374683,28,5
doc_011,4,0.15,0.1500308098591549,0.8620026408450704,0.021922751621088244,28,5
doc_011,5,0.22,0.2199662558685446,0.8649794600938967,0.03313222441499859,28,5
doc_012,0,0.0,0.0,0.8594380868544601,0.0,28,5
doc_012,1,0.03,0.030019072769953,0.8605619131455399,0.004675655344019443,28,5
doc_012,2,0.06,0.0600132042253521,0.8615287558685446,0.00785834153116139,28,5
doc_012,3,0.1,0.1000308098591549,0.863006161971831,0.012452983044962675,28,5
doc_012,4,0.15,0.1500308098591549,0.8649237089201878,0.01881835541924657,28,5
doc_012,5,0.22,0.2199662558685446,0.8674281103286385,0.027012325675597477,28,5
