doc_id,severity_level,darkening_factor,global_mean,darkest_block_mean,p5,p25,p50,p75,p95
doc_005,2,0.7,239.10380427807488,84.78515625,75.0,255.0,255.0,255.0,255.0
doc_005,3,0.55,238.94567165775402,84.78515625,75.0,255.0,255.0,255.0,255.0
doc_005,4,0.4,238.78762139037434,63.78515625,75.0,255.0,255.0,255.0,255.0
doc_005,5,0.25,238.6256909090909,39.5,63.0,255.0,255.0,255.0,255.0
doc_006,0,1.0,236.91471443850267,84.78515625,39.0,255.0,255.0,255.0,255.0
doc_006,1,0.85,236.75288449197862,84.78515625,39.0,255.0,255.0,255.0,255.0
doc_006,2,0.7,236.5952459893048,84.78515625,39.0,255.0,255.0,255.0,255.0
doc_006,3,0.55,236.43755935828878,84.78515625,39.0,255.0,255.0,255.0,255.0
doc_006,4,0.4,236.27995828877005,65.1875,38.0,255.0,255.0,255.0,255.0
doc_006,5,0.25,236.1184823529412,40.33203125,37.0,255.0,255.0,255.0,255.0
doc_007,0,1.0,234.90117112299464,84.78515625,23.0,255.0,255.0,255.0,255.0
doc_007,1,0.85,234.73669946524063,84.78515625,23.0,255.0,255.0,255.0,255.0
doc_007,2,0.7,234.57648449197862,84.78515625,23.0,255.0,255.0,255.0,255.0
doc_007,3,0.55,234.41622352941175,84.78515625,23.0,255.0,255.0,255.0,255.0
doc_007,4,0.4,234.25603636363635,62.7265625,22.0,255.0,255.0,255.0,255.0
doc_007,5,0.25,234.09186310160428,38.8359375,22.0,255.0,255.0,255.0,255.0
doc_008,0,1.0,234.1963550802139,84.78515625,18.0,255.0,255.0,255.0,255.0
doc_008,1,0.85,234.03297647058824,84.78515625,18.0,255.0,255.0,255.0,255.0
doc_008,2,0.7,233.87380748663102,84.78515625,18.0,255.0,255.0,255.0,255.0
doc_008,3,0.55,233.71460855614973,84.78515625,18.0,255.0,255.0,255.0,255.0
doc_008,4,0.4,233.55548556149733,65.1875,18.0,255.0,255.0,255.0,255.0
doc_008,5,0.25,233.39242994652406,40.33203125,18.0,255.0,255.0,255.0,255.0
doc_009,0,1.0,234.62305347593582,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_009,1,0.85,234.37543636363637,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_009,2,0.7,234.1342139037433,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_009,3,0.55,233.8929796791444,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_009,4,0.4,233.65180427807488,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_009,5,0.25,233.40472406417112,40.1640625,0.0,255.0,255.0,255.0,255.0
doc_010,0,1.0,233.34546417112298,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_010,1,0.85,233.0952652406417,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_010,2,0.7,232.8514962566845,52.2578125,0.0,255.0,255.0,255.0,255.0
